ID,Name,Ticker,Asset Class,Annual Drift (mu),Annual Volatility (sig),Risk-Free Rate (rf),Base Price,Currency
beekay,Beekay Steel Industries Limited,BEEKAY,indian-stock,0.206,0.482,0.065,1442.33,₹
primesecu,Prime Securities Limited,PRIMESECU,indian-stock,0.185,0.332,0.065,686.93,₹
pyramid,Pyramid Technoplast Limited,PYRAMID,indian-stock,0.119,0.423,0.065,7044.12,₹
magadsugar,Magadh Sugar & Energy Limited,MAGADSUGAR,indian-stock,0.099,0.234,0.065,3288.76,₹
nglfine,NGL Fine-Chem Limited,NGLFINE,indian-stock,0.115,0.492,0.065,3987.74,₹
essentia,Integra Essentia Limited,ESSENTIA,indian-stock,0.100,0.414,0.065,6315.35,₹
urbanco,Urban Company Limited,URBANCO,indian-stock,0.133,0.208,0.065,7966.53,₹
chembond,Chembond Material Technologies Limited,CHEMBOND,indian-stock,0.188,0.329,0.065,7523.04,₹
capillary,Capillary Technologies India Limited,CAPILLARY,indian-stock,0.177,0.505,0.065,4601.49,₹
gatech,GACM Technologies Limited,GATECH,indian-stock,0.148,0.395,0.065,8702.19,₹
snowman,Snowman Logistics Limited,SNOWMAN,indian-stock,0.199,0.214,0.065,9724.29,₹
genuspower,Genus Power Infrastructures Limited,GENUSPOWER,indian-stock,0.169,0.438,0.065,8516.05,₹
deltacorp,Delta Corp Limited,DELTACORP,indian-stock,0.191,0.327,0.065,9684.47,₹
jtektindia,Jtekt India Limited,JTEKTINDIA,indian-stock,0.195,0.363,0.065,3296.36,₹
themismed,Themis Medicare Limited,THEMISMED,indian-stock,0.120,0.383,0.065,1392.88,₹
bnagrochem,BN Agrochem Limited,BNAGROCHEM,indian-stock,0.199,0.472,0.065,8952.13,₹
hdfclife,HDFC Life Insurance Company Limited,HDFCLIFE,indian-stock,0.187,0.197,0.065,6299.18,₹
senco,Senco Gold Limited,SENCO,indian-stock,0.197,0.186,0.065,9301.39,₹
pilaniinvs,Pilani Investment and Industries Corporation Limited,PILANIINVS,indian-stock,0.102,0.349,0.065,9919.20,₹
kennamet,Kennametal India Limited,KENNAMET,indian-stock,0.140,0.548,0.065,9103.13,₹
venkeys,Venky's (India) Limited,VENKEYS,indian-stock,0.204,0.292,0.065,8756.79,₹
priviscl,Privi Speciality Chemicals Limited,PRIVISCL,indian-stock,0.203,0.215,0.065,3668.31,₹
greenpower,Orient Green Power Company Limited,GREENPOWER,indian-stock,0.092,0.426,0.065,6524.22,₹
trf,TRF Limited,TRF,indian-stock,0.087,0.411,0.065,7287.28,₹
oswalseeds,ShreeOswal Seeds And Chemicals Limited,OSWALSEEDS,indian-stock,0.186,0.339,0.065,1002.87,₹
gail,GAIL (India) Limited,GAIL,indian-stock,0.093,0.259,0.065,871.59,₹
rajooeng,Rajoo Engineers Limited,RAJOOENG,indian-stock,0.163,0.372,0.065,4506.16,₹
eurotexind,Eurotex Industries and Exports Limited,EUROTEXIND,indian-stock,0.081,0.307,0.065,1293.88,₹
pocl,Pondy Oxides & Chemicals Limited,POCL,indian-stock,0.200,0.437,0.065,4829.23,₹
autoind,Autoline Industries Limited,AUTOIND,indian-stock,0.112,0.213,0.065,8078.97,₹
urja,Urja Global Limited,URJA,indian-stock,0.094,0.316,0.065,3062.63,₹
schneider,Schneider Electric Infrastructure Limited,SCHNEIDER,indian-stock,0.134,0.481,0.065,8757.52,₹
keeplearn,DSJ Keep Learning Limited,KEEPLEARN,indian-stock,0.170,0.431,0.065,777.27,₹
kamdhenu,Kamdhenu Limited,KAMDHENU,indian-stock,0.159,0.406,0.065,1724.75,₹
vinylindia,Vinyl Chemicals (India) Limited,VINYLINDIA,indian-stock,0.129,0.259,0.065,7507.86,₹
ominfral,OM INFRA LIMITED,OMINFRAL,indian-stock,0.209,0.408,0.065,4479.60,₹
kaynes,Kaynes Technology India Limited,KAYNES,indian-stock,0.110,0.512,0.065,1486.13,₹
aki,AKI India Limited,AKI,indian-stock,0.097,0.450,0.065,3580.20,₹
fusion,Fusion Finance Limited,FUSION,indian-stock,0.140,0.473,0.065,2553.09,₹
wsi,W S Industries (I) Limited,WSI,indian-stock,0.170,0.272,0.065,6049.89,₹
pokarna,Pokarna Limited,POKARNA,indian-stock,0.181,0.285,0.065,9418.66,₹
kddl,KDDL Limited,KDDL,indian-stock,0.084,0.493,0.065,8770.69,₹
tfciltd,Tourism Finance Corporation of India Limited,TFCILTD,indian-stock,0.109,0.405,0.065,1967.60,₹
grinfra,G R Infraprojects Limited,GRINFRA,indian-stock,0.135,0.419,0.065,7859.64,₹
abrel,Aditya Birla Real Estate Limited,ABREL,indian-stock,0.191,0.269,0.065,3920.27,₹
geojitfsl,Geojit Financial Services Limited,GEOJITFSL,indian-stock,0.114,0.416,0.065,803.02,₹
vcl,Vaxtex Cotfab Limited,VCL,indian-stock,0.204,0.184,0.065,3674.87,₹
ratnamani,Ratnamani Metals & Tubes Limited,RATNAMANI,indian-stock,0.124,0.323,0.065,8405.84,₹
infomedia,Infomedia Press Limited,INFOMEDIA,indian-stock,0.139,0.382,0.065,1810.43,₹
bajajhind,Bajaj Hindusthan Sugar Limited,BAJAJHIND,indian-stock,0.146,0.545,0.065,822.62,₹
torntpharm,Torrent Pharmaceuticals Limited,TORNTPHARM,indian-stock,0.162,0.185,0.065,2235.86,₹
disaq,Disa India Limited,DISAQ,indian-stock,0.209,0.531,0.065,4039.95,₹
calsoft,California Software Company Limited,CALSOFT,indian-stock,0.120,0.444,0.065,7694.39,₹
lordschlo,Lords Chloro Alkali Limited,LORDSCHLO,indian-stock,0.139,0.329,0.065,6441.32,₹
forcemot,FORCE MOTORS LTD,FORCEMOT,indian-stock,0.155,0.236,0.065,927.61,₹
cipla,Cipla Limited,CIPLA,indian-stock,0.091,0.521,0.065,9745.70,₹
elantas,Elantas Beck India Limited,ELANTAS,indian-stock,0.102,0.301,0.065,5905.73,₹
aadharhfc,Aadhar Housing Finance Limited,AADHARHFC,indian-stock,0.187,0.420,0.065,6467.23,₹
meesho,Meesho Limited,MEESHO,indian-stock,0.123,0.342,0.065,9538.94,₹
geship,The Great Eastern Shipping Company Limited,GESHIP,indian-stock,0.113,0.270,0.065,9253.81,₹
itc,ITC Limited,ITC,indian-stock,0.096,0.407,0.065,644.78,₹
20microns,20 Microns Limited,20MICRONS,indian-stock,0.173,0.423,0.065,1838.89,₹
aeroenter,Aeroflex Enterprises Limited,AEROENTER,indian-stock,0.082,0.231,0.065,212.37,₹
tiil,Technocraft Industries (India) Limited,TIIL,indian-stock,0.149,0.308,0.065,5220.51,₹
olectra,Olectra Greentech Limited,OLECTRA,indian-stock,0.195,0.276,0.065,3781.51,₹
ramasteel,Rama Steel Tubes Limited,RAMASTEEL,indian-stock,0.185,0.503,0.065,7356.06,₹
ghcltextil,GHCL Textiles Limited,GHCLTEXTIL,indian-stock,0.097,0.513,0.065,3416.61,₹
gujalkali,Gujarat Alkalies and Chemicals Limited,GUJALKALI,indian-stock,0.140,0.374,0.065,2703.20,₹
blissgvs,Bliss GVS Pharma Limited,BLISSGVS,indian-stock,0.217,0.412,0.065,5011.86,₹
ramky,Ramky Infrastructure Limited,RAMKY,indian-stock,0.152,0.201,0.065,8607.66,₹
muthootmf,Muthoot Microfin Limited,MUTHOOTMF,indian-stock,0.103,0.238,0.065,7755.96,₹
motisons,Motisons Jewellers Limited,MOTISONS,indian-stock,0.205,0.429,0.065,1241.80,₹
sayajihotl,Sayaji Hotels Limited,SAYAJIHOTL,indian-stock,0.184,0.181,0.065,8601.02,₹
orchasp,Orchasp Limited,ORCHASP,indian-stock,0.082,0.197,0.065,3703.37,₹
damcapital,Dam Capital Advisors Limited,DAMCAPITAL,indian-stock,0.209,0.246,0.065,9607.39,₹
gokulagro,Gokul Agro Resources Limited,GOKULAGRO,indian-stock,0.085,0.477,0.065,7168.81,₹
cybermedia,Cyber Media (India) Limited,CYBERMEDIA,indian-stock,0.172,0.263,0.065,2557.81,₹
aarnav,Aarnav Fashions Limited,AARNAV,indian-stock,0.208,0.298,0.065,8277.37,₹
jkcement,JK Cement Limited,JKCEMENT,indian-stock,0.160,0.224,0.065,6765.92,₹
take,Take Solutions Limited,TAKE,indian-stock,0.087,0.263,0.065,5206.16,₹
drreddy,Dr. Reddy's Laboratories Limited,DRREDDY,indian-stock,0.086,0.328,0.065,8782.21,₹
eihahotels,EIH Associated Hotels Limited,EIHAHOTELS,indian-stock,0.201,0.466,0.065,3175.91,₹
raymond,Raymond Limited,RAYMOND,indian-stock,0.092,0.349,0.065,3752.30,₹
asalcbr,Associated Alcohols & Breweries Ltd.,ASALCBR,indian-stock,0.121,0.470,0.065,7421.80,₹
shringarms,Shringar House of Mangalsutra Limited,SHRINGARMS,indian-stock,0.114,0.316,0.065,9721.39,₹
emamipap,Emami Paper Mills Limited,EMAMIPAP,indian-stock,0.220,0.467,0.065,7351.39,₹
regenceram,Regency Ceramics Limited,REGENCERAM,indian-stock,0.157,0.475,0.065,1590.61,₹
pilita,PIL ITALICA LIFESTYLE LIMITED,PILITA,indian-stock,0.211,0.189,0.065,5461.30,₹
banswras,Banswara Syntex Limited,BANSWRAS,indian-stock,0.169,0.437,0.065,194.99,₹
rptech,Rashi Peripherals Limited,RPTECH,indian-stock,0.127,0.461,0.065,3825.12,₹
vakrangee,Vakrangee Limited,VAKRANGEE,indian-stock,0.183,0.294,0.065,2131.42,₹
premierpol,Premier Polyfilm Limited,PREMIERPOL,indian-stock,0.218,0.335,0.065,9615.73,₹
lincoln,Lincoln Pharmaceuticals Limited,LINCOLN,indian-stock,0.216,0.233,0.065,2870.27,₹
bajajhcare,Bajaj Healthcare Limited,BAJAJHCARE,indian-stock,0.086,0.266,0.065,8470.49,₹
irctc,Indian Railway Catering And Tourism Corporation Limited,IRCTC,indian-stock,0.138,0.511,0.065,4638.73,₹
jagran,Jagran Prakashan Limited,JAGRAN,indian-stock,0.185,0.395,0.065,5103.73,₹
purva,Puravankara Limited,PURVA,indian-stock,0.169,0.326,0.065,5959.77,₹
chennpetro,Chennai Petroleum Corporation Limited,CHENNPETRO,indian-stock,0.089,0.425,0.065,1394.01,₹
nrl,Nupur Recyclers Limited,NRL,indian-stock,0.121,0.495,0.065,9267.82,₹
winsome,Winsome Yarns Limited,WINSOME,indian-stock,0.135,0.488,0.065,3329.89,₹
omkarchem,Omkar Speciality Chemicals Limited,OMKARCHEM,indian-stock,0.143,0.266,0.065,9441.19,₹
hindzinc,Hindustan Zinc Limited,HINDZINC,indian-stock,0.099,0.465,0.065,1178.83,₹
brighotel,Brigade Hotel Ventures Limited,BRIGHOTEL,indian-stock,0.095,0.346,0.065,3208.93,₹
shardul,Shardul Securities Limited,SHARDUL,indian-stock,0.097,0.313,0.065,7726.33,₹
nh,Narayana Hrudayalaya Ltd.,NH,indian-stock,0.143,0.351,0.065,8539.57,₹
lt,Larsen & Toubro Limited,LT,indian-stock,0.093,0.479,0.065,3111.73,₹
xelpmoc,Xelpmoc Design And Tech Limited,XELPMOC,indian-stock,0.179,0.403,0.065,2228.71,₹
vssl,Vardhman Special Steels Limited,VSSL,indian-stock,0.200,0.235,0.065,7140.46,₹
monarch,Monarch Networth Capital Limited,MONARCH,indian-stock,0.216,0.327,0.065,584.61,₹
muktaarts,Mukta Arts Limited,MUKTAARTS,indian-stock,0.122,0.483,0.065,1821.29,₹
speciality,Speciality Restaurants Limited,SPECIALITY,indian-stock,0.213,0.496,0.065,5603.94,₹
fmnl,Future Market Networks Limited,FMNL,indian-stock,0.157,0.215,0.065,1108.88,₹
electherm,Electrotherm (India) Limited,ELECTHERM,indian-stock,0.191,0.225,0.065,710.52,₹
mirzaint,Mirza International Limited,MIRZAINT,indian-stock,0.189,0.262,0.065,2061.52,₹
quadfuture,Quadrant Future Tek Limited,QUADFUTURE,indian-stock,0.136,0.434,0.065,9381.99,₹
svll,Shree Vasu Logistics Limited,SVLL,indian-stock,0.092,0.397,0.065,9182.54,₹
bttl,Bhilwara Technical Textiles Limited,BTTL,indian-stock,0.090,0.549,0.065,2057.73,₹
hblengine,HBL Engineering Limited,HBLENGINE,indian-stock,0.170,0.479,0.065,1010.59,₹
gss,GSS Infotech Limited,GSS,indian-stock,0.199,0.479,0.065,1313.02,₹
onmobile,OnMobile Global Limited,ONMOBILE,indian-stock,0.212,0.199,0.065,9248.90,₹
enil,Entertainment Network (India) Limited,ENIL,indian-stock,0.141,0.448,0.065,5011.65,₹
sirca,Sirca Paints India Limited,SIRCA,indian-stock,0.134,0.338,0.065,3604.04,₹
bankindia,Bank of India,BANKINDIA,indian-stock,0.207,0.282,0.065,4515.51,₹
kwil,Kwality Wall's (India) Limited,KWIL,indian-stock,0.101,0.407,0.065,6208.07,₹
systmtxc,Systematix Corporate Services Limited,SYSTMTXC,indian-stock,0.171,0.365,0.065,8839.51,₹
hlvltd,HLV LIMITED,HLVLTD,indian-stock,0.147,0.212,0.065,3891.85,₹
megastar,Megastar Foods Limited,MEGASTAR,indian-stock,0.139,0.418,0.065,7992.26,₹
hatsun,Hatsun Agro Product Limited,HATSUN,indian-stock,0.115,0.548,0.065,5482.20,₹
manakcoat,Manaksia Coated Metals & Industries Limited,MANAKCOAT,indian-stock,0.083,0.322,0.065,7162.37,₹
gravissho,Graviss Hospitality Limited,GRAVISSHO,indian-stock,0.147,0.469,0.065,3505.94,₹
venusrem,Venus Remedies Limited,VENUSREM,indian-stock,0.159,0.299,0.065,2777.31,₹
bharatras,Bharat Rasayan Limited,BHARATRAS,indian-stock,0.084,0.401,0.065,390.10,₹
lypsagems,Lypsa Gems & Jewellery Limited,LYPSAGEMS,indian-stock,0.193,0.284,0.065,8105.67,₹
indigopnts,Indigo Paints Limited,INDIGOPNTS,indian-stock,0.146,0.312,0.065,5881.49,₹
ashoka,Ashoka Buildcon Limited,ASHOKA,indian-stock,0.113,0.239,0.065,2553.78,₹
